	gene_type
662	protein_coding
663	processed_pseudogene
664	protein_coding
665	processed_pseudogene
666	lincRNA
667	protein_coding
668	miRNA
669	protein_coding
670	processed_pseudogene
671	protein_coding
672	processed_pseudogene
673	processed_pseudogene
674	misc_RNA
675	miRNA
676	protein_coding
677	protein_coding
678	rRNA_pseudogene
679	antisense
680	protein_coding
681	lincRNA
682	lincRNA
683	miRNA
684	lincRNA
685	protein_coding
686	antisense
687	transcribed_unprocessed_pseudogene
688	TEC
689	antisense
690	protein_coding
691	processed_pseudogene
692	processed_pseudogene
693	lincRNA
694	protein_coding
695	protein_coding
696	protein_coding
697	polymorphic_pseudogene
698	protein_coding
699	lincRNA
700	snRNA
701	lincRNA
702	processed_pseudogene
703	processed_pseudogene
704	protein_coding
705	processed_pseudogene
706	snoRNA
707	protein_coding
708	misc_RNA
709	processed_pseudogene
710	protein_coding
711	rRNA_pseudogene
712	snRNA
713	protein_coding
714	protein_coding
715	processed_pseudogene
716	protein_coding
717	protein_coding
718	misc_RNA
719	antisense
720	protein_coding
721	lincRNA
722	misc_RNA
723	transcribed_unprocessed_pseudogene
724	misc_RNA
725	protein_coding
726	protein_coding
727	protein_coding
728	lincRNA
729	lincRNA
730	protein_coding
731	processed_pseudogene
732	protein_coding
733	lincRNA
734	processed_pseudogene
735	protein_coding
736	unprocessed_pseudogene
737	processed_pseudogene
738	protein_coding
739	protein_coding
740	protein_coding
741	processed_pseudogene
742	protein_coding
743	processed_pseudogene
744	protein_coding
745	processed_pseudogene
746	protein_coding
747	snRNA
748	miRNA
749	antisense
750	unprocessed_pseudogene
751	unprocessed_pseudogene
752	misc_RNA
753	lincRNA
754	bidirectional_promoter_lncRNA
755	protein_coding
756	lincRNA
757	processed_pseudogene
758	antisense
759	protein_coding
760	protein_coding
761	protein_coding
762	antisense
763	protein_coding
764	protein_coding
765	processed_pseudogene
766	transcribed_processed_pseudogene
767	sense_intronic
768	scaRNA
769	unprocessed_pseudogene
770	lincRNA
771	lincRNA
772	antisense
773	rRNA_pseudogene
774	lincRNA
775	antisense
776	TEC
777	protein_coding
778	protein_coding
779	processed_pseudogene
780	protein_coding
781	TEC
782	protein_coding
783	protein_coding
784	snRNA
785	miRNA
786	processed_pseudogene
787	antisense
788	rRNA_pseudogene
789	antisense
790	lincRNA
791	lincRNA
792	snRNA
793	protein_coding
794	lincRNA
795	antisense
796	protein_coding
797	processed_pseudogene
798	bidirectional_promoter_lncRNA
799	protein_coding
800	protein_coding
801	protein_coding
802	lincRNA
803	unprocessed_pseudogene
804	protein_coding
805	protein_coding
806	snRNA
807	rRNA_pseudogene
808	processed_pseudogene
809	protein_coding
810	processed_pseudogene
811	protein_coding
812	lincRNA
813	TEC
814	TEC
815	snRNA
816	lincRNA
817	processed_pseudogene
818	lincRNA
819	protein_coding
820	antisense
821	snRNA
822	lincRNA
823	misc_RNA
824	protein_coding
825	transcribed_unprocessed_pseudogene
826	protein_coding
827	unprocessed_pseudogene
828	processed_pseudogene
829	protein_coding
830	antisense
831	rRNA_pseudogene
832	protein_coding
833	protein_coding
834	antisense
835	protein_coding
836	miRNA
837	lincRNA
838	lincRNA
839	processed_pseudogene
840	processed_pseudogene
841	protein_coding
842	protein_coding
843	protein_coding
844	sense_intronic
845	lincRNA
846	protein_coding
847	protein_coding
848	snoRNA
849	lincRNA
850	antisense
851	protein_coding
852	processed_pseudogene
853	lincRNA
854	processed_pseudogene
855	processed_pseudogene
856	IG_V_pseudogene
857	protein_coding
858	antisense
859	antisense
860	protein_coding
861	antisense
862	unprocessed_pseudogene
863	processed_pseudogene
864	lincRNA
865	lincRNA
866	misc_RNA
867	protein_coding
868	protein_coding
869	miRNA
870	bidirectional_promoter_lncRNA
871	protein_coding
872	protein_coding
873	protein_coding
874	misc_RNA
875	protein_coding
876	lincRNA
877	lincRNA
878	rRNA_pseudogene
879	processed_pseudogene
880	protein_coding
881	lincRNA
882	protein_coding
883	protein_coding
884	snRNA
885	protein_coding
886	processed_pseudogene
887	protein_coding
888	processed_pseudogene
889	unprocessed_pseudogene
890	protein_coding
891	processed_pseudogene
892	snoRNA
893	protein_coding
894	processed_pseudogene
895	antisense
896	protein_coding
897	lincRNA
898	snRNA
899	processed_pseudogene
900	snRNA
901	protein_coding
902	processed_pseudogene
903	antisense
904	lincRNA
905	processed_pseudogene
906	protein_coding
907	antisense
908	protein_coding
909	protein_coding
910	lincRNA
911	protein_coding
912	lincRNA
913	protein_coding
914	processed_pseudogene
915	processed_pseudogene
916	rRNA_pseudogene
917	snRNA
918	antisense
919	protein_coding
920	protein_coding
921	antisense
922	snoRNA
923	protein_coding
924	protein_coding
925	antisense
926	sense_intronic
927	lincRNA
928	protein_coding
929	transcribed_processed_pseudogene
930	protein_coding
931	unprocessed_pseudogene
932	unprocessed_pseudogene
933	scaRNA
934	lincRNA
